Fold,P_on_m,P_on_sd,P_off_m,P_off_sd,QRS_on_m,QRS_on_sd,QRS_off_m,QRS_off_sd,T_on_m,T_on_sd,T_off_m,T_off_sd
1,-0.4968632371392723,13.587822162300133,-0.6260978670012547,11.879865887547126,-0.8830207305034551,6.630171096031399,0.49259624876604147,7.209678319642311,-4.3495089543616405,17.334803304152366,1.8906882591093117,15.119580035559514
2,-0.13854089904200442,13.551015926993559,-0.4974207811348563,13.838665114591803,-0.07415937356057116,6.259072101740346,-0.5131275909719023,7.864185001700765,-2.103903243540407,19.5443050099406,3.836443468715697,18.492637454955894
3,0.3839935327405012,14.565954121167003,0.40372168284789645,12.486417957055087,-0.7881002087682673,6.190603724203741,1.4911273486430063,9.968971935113094,0.8518079430942501,20.02815078681513,5.30322966507177,17.883114355249973
4,0.047648136835675016,13.021299299929897,2.6444715943799633,12.602301776255889,1.102576112412178,6.62683975008048,0.04732895970009372,8.093184440244722,-1.3460096411355116,17.87354374562269,8.854222700376546,21.48271374777158
5,-1.713089802130898,10.522095142666538,-1.1657794676806084,10.397201293359451,0.021982758620689654,8.489696566592128,-1.6293103448275863,7.869550848610008,-2.684742158426369,21.08099431143915,7.632631578947368,21.467718443748407
6,2.0899470899470898,12.387939510809664,7.372791519434629,14.827056075096715,2.5581683168316833,9.571250057753119,-3.014925373134328,7.329076746513725,0.20732287208749406,22.804526158802727,1.446828803051979,19.52463591068223
7,-3.6274944567627494,15.625236310554993,3.6971260132645543,13.156014083007275,-1.3606060606060606,6.706717846991567,1.6383838383838383,6.73079320630202,-8.813591022443891,18.98022438035172,3.8999382334774553,17.871129335865604
8,0.5684389140271493,10.060499088360478,-2.4788015828151497,9.203971390087592,1.7573529411764706,4.763159773962581,-1.271078431372549,5.426654154041329,-2.4387417218543046,10.67951248595681,-0.1401766004415011,8.9125749873308
9,-3.9693174702567315,10.668438947567978,-0.24546023794614902,9.614998836277556,2.0487689393939394,5.292575238119572,-1.4308712121212122,6.005517790995139,-0.9055338177752935,13.401964499282357,3.467452300785634,13.352335202123157
10,-2.8770622671633848,10.950335446870872,0.641830761043108,10.252686977662893,1.850438596491228,5.636815059779718,-1.6662280701754386,6.606051172094784,-1.104878048780488,13.00998586863956,3.9234146341463414,11.432281553172373
Mean,-0.9732340458944625,12.49406359572211,0.9746381634392133,11.825917939094138,0.6233401291487836,6.616690121525465,-0.5856104627110035,7.31036636152579,-2.268777779313616,17.473801055100306,4.011467304324059,16.553872102645954
