Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.9381989405532666,0.9381989405532666,1.0,1.0,0.956353591160221,0.9552486187845304
2,0.9058744993324432,0.9058744993324432,0.994502977553825,0.994502977553825,0.9390810531750129,0.940629839958699
3,0.8970268310369833,0.896301667875272,0.9927461139896373,0.9927461139896373,0.9836734693877551,0.9749271137026239
4,0.8768077129084092,0.8768077129084092,0.9944108057755007,0.9939450395901258,0.9443601416287304,0.9403136064744563
5,0.8565840938722294,0.8572359843546284,0.9923011120615911,0.9923011120615911,0.866421004145555,0.8751727314601566
6,0.8344370860927153,0.8329654157468727,0.9958915365653246,0.9909613804437141,0.9143478260869565,0.9117391304347826
7,0.8053571428571429,0.8077380952380953,0.990990990990991,0.990990990990991,0.8985994397759104,0.9070028011204482
8,0.9751792608935466,0.97573083287369,1.0,1.0,1.0,1.0
9,0.8921787709497206,0.8921787709497206,0.9938823529411764,0.9938823529411764,0.9259834368530021,0.922360248447205
10,0.9116933527413876,0.9116933527413876,1.0,1.0,0.9761904761904762,0.9761904761904762
Mean,0.8893337691237845,0.8894725272573785,0.9954725889878047,0.994932996757106,0.940501043840362,0.9403584566573379
